date,Category,FQDN
20230307,FakeNewsArticle,www.questinteract.com
20230307,FakeNewsArticle,www.test-plaza.com
20230307,FakeVideoStream,new.lightfoot.top
20230308,FakeMcAfeeAlert,trm.localdatabasedefence.site
20230308,FakeMcAfeeAlert,kokiks.live
20230308,FakeMcAfeeAlert,kokirs.live
20230308,FakeHumanVerification,toprecodeclub.com
20230308,"FakeHumanVerification, FakeNotificationConfirmation, FakeVideoStream",turaddoptle.com
20230308,FakeHumanVerification,youraracfur.com
20230308,FakeHumanVerification,goadszone.com
20230308,"FakeHumanVerification, FakeVideoStream",realgadssolutions.com
20230308,FakeMcAfeeAlert,reduter.click
20230308,FakeNortonAlert,doloy.live
20230308,FakeAmazonStockInvestment,hmcvut.com
20230308,FakeMcAfeeAlert,flownotifsolutions.click
20230308,FakeMcAfeeAlert,driser.live
20230308,FakeMcAfeeAlert,loadoriginalextremelyinfo-product.info
20230308,FakeHumanVerification,odestech.com
20230308,FakeMcAfeeAlert,driten.live
20230308,FakeMcAfeeAlert,whitepandas1.click
20230308,FakeHumanVerification,venadvstar.com
20230308,FakeMcAfeeAlert,www.pilsnus.click
20230308,DownloadFakeADBlock,nonperic.com
20230308,FakeMcAfeeAlert,helpscan.site
20230308,FakeMcAfeeAlert,ksjcn.top
20230308,FakeHumanVerification,topadvstudio.com
20230308,FakeAmazonNewsArticle,wvrlih.com
20230309,FakeMcAfeeAlert,myherbalslife.com
20230309,FakeMcAfeeAlert,helpscan.website
20230309,FakeMcAfeeAlert,loadextremelycurrentinfo-product.info
20230309,FakeMcAfeeAlert,driwer.live
20230309,DownloadFakeADBlock,ciomonstorize.com
20230309,FakeMcAfeeAlert,tro.mylocaldatabasedefence.site
20230309,FakeMcAfeeAlert,huher.live
20230311,FakeHumanVerification,advertisingnpclub.com
20230312,FakeMcAfeeAlert,updategreatlyadvancedtheproduct.vip
20230312,FakeMcAfeeAlert,installintenselyspeedytheproduct.vip
20230312,FakeMcAfeeAlert,scanwin.live
20230313,FakeMcAfeeAlert,watchprecisehighlyinfo-product.info
20230315,FakeMcAfeeAlert,www.notification-center.info
20230315,FakeMcAfeeAlert,www.likerus.click
20230315,FakeMcAfeeAlert,blackpandas1.click
20230315,FakeMcAfeeAlert,bobrhytmnine.xyz
20230315,FakeMcAfeeAlert,kdcms.sbs
20230316,FakeHumanVerification,uddininc.com
20230316,FakeMcAfeeAlert,bizlisingh.online
20230316,FakeMcAfeeAlert,thestudenteachernetwork.store
20230316,FakeNortonAlert,rebins.live
20230316,FakeMcAfeeAlert,tixens.live
20230316,FakeMcAfeeAlert,checksmysyst.bio
20230316,FakeMcAfeeAlert,krarig.live
20230316,FakeMcAfeeAlert,scancomputer.live
20230316,FakeMcAfeeAlert,trn.yourlocaldatabasedefence.site
20230316,FakeMcAfeeAlert,dmo3k6watxpp0.cloudfront.net
20230316,FakeHumanVerification,addsdata.com
20230316,FakeHumanVerification,advnphome.com
20230316,FakeHumanVerification,theaddinshop.com
20230316,FakeNortonAlert,palons.live
20230316,FakeMcAfeeAlert,allthebestjpav.link
20230316,FakeNortonAlert,fanir.live
20230316,FakeMcAfeeAlert,pluton-renown.xyz
20230320,FakeVideoStream,new.bonebow.top
20230320,FakeMcAfeeAlert,jp.protection-8.com
20230320,FakeMcAfeeAlert,defendernotice.live
20230322,FakeMcAfeeAlert,smalling.shop
20230322,FakeMcAfeeAlert,defenderupdate.live
20230322,FakeMcAfeeAlert,ovira.xyz
20230322,FakeMcAfeeAlert,whitebirds1.click
20230322,FakeMcAfeeAlert,stariu.click
20230322,FakeMcAfeeAlert,demck.top
20230322,DownloadFakeADBlock,www.adremover.org
20230323,FakeMcAfeeAlert,dadin.live
20230323,FakeMcAfeeAlert,franskla.shop
20230323,FakeMcAfeeAlert,dagig.live
20230323,FakeMcAfeeAlert,bineustrckr.info
20230323,FakeMcAfeeAlert,gafet.live
20230323,FakeMcAfeeAlert,dafin.live
20230329,FakeMcAfeeAlert,ivn.mylocaldatabaseprotection.site
20230329,FakeMcAfeeAlert,storprojekt.click
20230329,FakeMcAfeeAlert,pushlandings.b-cdn.net
20230329,FakeMcAfeeAlert,repairoverlypreciseinfo-file.info
20230329,FakeMcAfeeAlert,onlynows1.click
20230329,FakeMcAfeeAlert,lighteu.click
20230330,FakeHumanVerification,rekadvice.com
20230330,"FakeHumanVerification, FakeVideoStream",adventureorganic.com
20230330,FakeMcAfeeAlert,repairextremelyswiftinfo-file.info
20230330,FakeMcAfeeAlert,soxeng.live
