first_seen,ip,cve_id
20230103,5.135.72.113,CVE-2022-1388
20230105,193.35.18.181,CVE-2022-30525
20230106,193.35.18.181,CVE-2022-30525
20230113,159.223.197.126,CVE-2022-1388
20230113,159.223.197.126,CVE-2022-22954
20230114,111.200.216.73,CVE-2022-1388
20230114,111.21.183.230,CVE-2022-1388
20230114,119.61.7.73,CVE-2022-1388
20230114,121.37.247.231,CVE-2022-1388
20230114,124.42.103.1,CVE-2022-1388
20230114,159.203.24.159,CVE-2022-1388
20230114,188.165.192.96,CVE-2022-1388
20230114,211.57.200.14,CVE-2022-1388
20230114,35.157.12.136,CVE-2022-1388
20230114,35.242.175.30,CVE-2022-1388
20230114,49.233.62.251,CVE-2022-1388
20230115,111.196.114.216,CVE-2022-1388
20230115,121.156.47.201,CVE-2022-1388
20230115,121.156.47.221,CVE-2022-1388
20230115,124.221.186.82,CVE-2022-1388
20230115,168.63.248.131,CVE-2022-1388
20230115,171.244.30.202,CVE-2022-1388
20230115,222.92.154.163,CVE-2022-1388
20230115,35.241.177.249,CVE-2022-1388
20230115,39.97.229.89,CVE-2022-1388
20230115,49.232.109.177,CVE-2022-1388
20230115,49.4.122.205,CVE-2022-1388
20230115,58.144.150.54,CVE-2022-1388
20230115,94.65.33.212,CVE-2022-1388
20230116,192.99.180.188,CVE-2022-40684
20230116,194.32.122.76,CVE-2022-40684
20230116,92.222.212.93,CVE-2022-40684
20230117,194.32.122.81,CVE-2022-40684
20230117,106.75.147.93,CVE-2022-1388
20230117,192.227.220.48,CVE-2022-1388
20230117,35.173.31.36,CVE-2022-1388
20230117,43.143.28.57,CVE-2022-1388
20230117,58.144.150.222,CVE-2022-1388
20230118,192.227.220.48,CVE-2022-40684
20230118,192.227.220.48,CVE-2022-22954
20230118,80.66.66.131,CVE-2022-40684
20230118,111.194.166.166,CVE-2022-1388
20230118,124.221.186.26,CVE-2022-1388
20230119,195.191.162.169,CVE-2022-30525
20230122,103.143.76.190,CVE-2022-40684
20230126,194.32.122.85,CVE-2022-40684
20230127,176.223.130.18,CVE-2022-22954
20230129,193.35.18.108,CVE-2022-30525
20230130,77.83.36.20,CVE-2022-40684
20230202,194.32.122.38,CVE-2022-40684
20230203,103.77.188.28,CVE-2022-40684
20230203,107.189.1.237,CVE-2022-30525
20230204,107.189.31.181,CVE-2022-30525
20230204,106.13.101.172,CVE-2022-1388
20230204,173.249.2.213,CVE-2022-1388
20230204,178.159.5.52,CVE-2022-1388
20230204,200.2.162.34,CVE-2022-1388
20230204,211.154.194.21,CVE-2022-1388
20230204,218.107.35.116,CVE-2022-1388
20230204,43.142.179.19,CVE-2022-1388
20230206,45.33.101.246,CVE-2022-40684
20230206,172.249.128.134,CVE-2022-30525
20230207,43.252.75.21,CVE-2022-40684
20230208,178.128.247.205,CVE-2022-1388
20230208,178.128.247.205,CVE-2022-22954
20230210,124.223.197.100,CVE-2022-1388
20230210,47.118.50.131,CVE-2022-1388
20230211,79.124.58.130,CVE-2022-40684
20230211,45.61.188.225,CVE-2022-1388
20230213,34.228.237.190,CVE-2022-1388
20230213,38.60.204.253,CVE-2022-1388
20230214,139.60.163.108,CVE-2022-40684
20230214,173.249.8.100,CVE-2022-40684
20230214,211.145.47.71,CVE-2022-1388
20230216,107.189.29.121,CVE-2022-30525
20230217,51.161.104.91,CVE-2022-40684
20230220,185.232.92.99,CVE-2022-1388
20230220,185.232.92.99,CVE-2022-22954
20230221,51.161.104.87,CVE-2022-40684
20230223,103.48.83.86,CVE-2022-40684
20230223,139.87.112.81,CVE-2022-1388
20230223,139.87.112.81,CVE-2022-40684
20230223,139.87.112.81,CVE-2022-22954
20230224,139.87.112.55,CVE-2022-40684
20230224,139.87.112.55,CVE-2022-22954
20230224,139.87.112.55,CVE-2022-1388
20230224,142.202.243.179,CVE-2022-30525
20230224,178.128.122.209,CVE-2022-30525
20230225,38.54.23.237,CVE-2022-26134
20230225,38.54.23.237,CVE-2022-40684
20230225,64.39.98.222,CVE-2022-1388
20230225,64.39.98.222,CVE-2022-22954
20230225,64.39.98.222,CVE-2022-40684
20230226,64.39.98.53,CVE-2022-40684
20230226,64.39.98.53,CVE-2022-1388
20230226,64.39.98.53,CVE-2022-22954
20230227,64.39.108.78,CVE-2022-22954
20230227,64.39.108.78,CVE-2022-40684
20230227,64.39.108.78,CVE-2022-1388
20230227,77.64.229.43,CVE-2022-30525
20230228,107.148.149.101,CVE-2022-26134
20230228,107.148.149.101,CVE-2022-40684
20230228,139.87.112.140,CVE-2022-22954
20230228,139.87.112.140,CVE-2022-1388
20230228,139.87.112.140,CVE-2022-40684
20230301,64.39.98.48,CVE-2022-22954
20230301,64.39.98.48,CVE-2022-40684
20230301,64.39.98.48,CVE-2022-1388
20230301,38.54.23.237,CVE-2022-1388
